Action,Ticker,Market Cap,Div,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Profit M,Earnings,Price,Change,Volume
ADDED,LKSD,333.88M,10.59%,-3.40%,-26.70%,3.60%,1.30,1.00,3.08,4.14,14.60%,0.10%,-1.70%,Nov 01/b,10.43,6.21%
ADDED,NEWT,370.13M,10.28%,0.00%,0.00%,-,-,-,0.89,0.00,-,25.30%,0.00%,Nov 07/a,19.86,2.13%
ADDED,FCO,71.98M,10.18%,-,-,-,-,-,-,-,-,-,-,-,8.30,0.61%
ADDED,GME,1.50B,10.14%,-0.90%,-2.00%,4.40%,1.50,0.50,0.39,0.39,32.70%,0.80%,-0.50%,Dec 06/a,14.95,-0.27%
ADDED,PNNT,497.62M,10.13%,-,-,-,-,-,-,-,-,-,-,Nov 15/a,7.19,1.13%
ADDED,VEON,5.05B,10.10%,-2.40%,-10.70%,4.90%,0.60,0.50,2.55,2.98,77.10%,16.20%,-4.80%,Nov 15/b,2.84,-1.05%
ADDED,SAR,155.58M,10.00%,-,-,-,-,-,-,-,-,-,-,Oct 10/a,21.05,1.20%
REMOVED,OSB,2.40B,49.87%,-,-,-,-,-,-,-,-,-,-,Nov 02,28.33,2.39%
REMOVED,CBL,565.53M,25.16%,-0.40%,-2.00%,5.00%,-,-,3.84,3.84,71.00%,22.00%,-2.50%,Oct 29/a,3.07,-3.46%
REMOVED,MN,35.15M,16.16%,1.00%,1.30%,32.00%,4.40,4.40,0.00,0.00,-,19.20%,1.10%,Oct 30/a,2.02,2.02%
REMOVED,ROYT,99.42M,15.04%,3.50%,3.50%,2.00%,-,-,0.00,0.00,-,77.00%,76.80%,Oct 29,2.21,-2.21%
REMOVED,BGFV,85.51M,15.04%,-1.90%,-4.50%,3.50%,2.20,0.20,0.52,0.53,31.20%,0.20%,-0.90%,Oct 30/a,4.12,3.26%
REMOVED,MBT,8.41B,13.43%,-,-,18.20%,0.90,0.80,3.58,4.28,63.30%,-,-,Nov 20/b,8.24,0.67%
REMOVED,OMI,583.61M,11.74%,-4.00%,-14.70%,3.70%,1.80,0.90,2.08,2.08,13.30%,-1.30%,-1.50%,Oct 31/b,9.44,6.49%
REMOVED,NRT,65.44M,10.67%,380.30%,-,7022.10%,1.10,1.10,0.00,0.00,90.10%,90.50%,90.20%,Nov 15,7.15,0.42%
REMOVED,SBGL,1.44B,10.35%,0.60%,2.00%,0.70%,1.80,1.30,1.11,1.13,8.20%,1.80%,0.90%,-,2.56,-0.20%
REMOVED,NS,2.58B,10.24%,2.10%,8.00%,6.10%,0.70,0.60,2.02,2.06,65.10%,18.60%,7.40%,Nov 05/b,23.28,-0.66%
REMOVED,GAB,1.49B,10.15%,-,-,-,-,-,-,-,-,-,-,-,5.99,1.35%
REMOVED,CCR,541.16M,10.15%,11.00%,28.10%,12.20%,0.60,0.40,0.78,0.80,-,18.50%,15.20%,Oct 29,20.18,-0.10%
REMOVED,IRS,827.01M,10.13%,5.40%,48.10%,11.60%,2.10,2.00,4.84,5.52,40.70%,85.00%,45.30%,Nov 07,13.94,2.35%
REMOVED,MRT,273.80M,10.07%,3.20%,5.40%,5.60%,-,-,0.75,0.75,96.90%,49.80%,29.00%,Nov 09/a,8.55,2.52%
REMOVED,FEDU,204.46M,10.00%,2.30%,3.10%,5.80%,2.90,2.90,0.00,0.00,57.40%,15.20%,6.50%,Oct 24/b,4.29,2.14%
